Category	Precision	Recall	F1-score	TP	FP	FN
H1437_ONT,0.8,ClairS_TO_v0_3_0_pileup,snv	0.022172670436893263	0.9315150412105769	0.04331433814973169	71654	3159982	5268
H1437_ONT,0.8,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.6927116152068893	0.6002444034216479	0.6431715607065247	46172	20482	30750
H1437_ONT,0.6,Longphase_TO_v0_0_1,snv	0.8235762257851624	0.5515847221861107	0.6606820305200871	42429	9089	34493
H1437_ONT,0.6,DeepSomatic_TO_v1_8_0,snv	0.6035841645563078	0.6073035022490315	0.605438121282028	46715	30681	30207
H1437_ONT,0.6,ClairS_TO_v0_3_0,snv	0.7212483516483517	0.533280465926523	0.6131826573092073	41021	15854	35901
H1437_ONT,0.6,ClairS_TO_v0_3_0_pileup,snv	0.020280554906026614	0.8873664231299239	0.0396548083154375	68258	3297429	8664
H1437_ONT,0.6,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.6510198379435597	0.5755180572528016	0.6109451225823368	44270	23731	32652
H1437_ONT,0.4,Longphase_TO_v0_0_1,snv	0.7993840739111306	0.49604794467122537	0.6122016766274918	38157	9576	38765
H1437_ONT,0.4,DeepSomatic_TO_v1_8_0,snv	0.5842133333333334	0.5696159746236448	0.5768223167151565	43816	31184	33106
H1437_ONT,0.4,ClairS_TO_v0_3_0,snv	0.7296686451004284	0.48265775720860093	0.5809990297643267	37127	13755	39795
H1437_ONT,0.4,ClairS_TO_v0_3_0_pileup,snv	0.017660735586451714	0.7762538675541457	0.03453574036452497	59711	3321292	17211
H1437_ONT,0.4,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.6178047293812419	0.5138841943787213	0.5610730634115184	39529	24454	37393
H1437_ONT,0.2,Longphase_TO_v0_0_1,snv	0.7110587666847858	0.306102285431996	0.42796902831800504	23546	9568	53376
H1437_ONT,0.2,DeepSomatic_TO_v1_8_0,snv	0.514668876204505	0.4360521047294662	0.4721100116824074	33542	31630	43380
H1437_ONT,0.2,ClairS_TO_v0_3_0,snv	0.8355162841615514	0.2778138893944515	0.41697967785051565	21370	4207	55552
H1437_ONT,0.2,ClairS_TO_v0_3_0_pileup,snv	0.010519690810082818	0.45979043706611894	0.020568781953348044	35368	3326708	41554
H1437_ONT,0.2,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.4979626762285062	0.3177504485062791	0.3879497801691983	24442	24642	52480
H2009_ONT,1.0,Longphase_TO_v0_0_1,snv	0.9100018165304269	0.9119964463604323	0.9109980396364418	125239	12386	12085
H2009_ONT,1.0,DeepSomatic_TO_v1_8_0,snv	0.8608664269578816	0.9379860767236609	0.8977731312075274	128808	20818	8516
H2009_ONT,1.0,ClairS_TO_v0_3_0,snv	0.9118928631182303	0.9128557280591885	0.9123740415512768	125357	12112	11967
H2009_ONT,1.0,ClairS_TO_v0_3_0_pileup,snv	0.044992508120392995	0.9774183682386182	0.0860251096439927	134223	2849007	3101
H2009_ONT,1.0,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.9013995529205948	0.9455229967085141	0.9229342147350463	129843	14203	7481
H2009_ONT,0.8,Longphase_TO_v0_0_1,snv	0.9406932046128396	0.8571553406542192	0.8969834598956765	117708	7421	19616
H2009_ONT,0.8,DeepSomatic_TO_v1_8_0,snv	0.8238905165962737	0.946054586234016	0.8807565845225586	129916	27770	7408
H2009_ONT,0.8,ClairS_TO_v0_3_0,snv	0.8839987201820185	0.9053770644606915	0.8945601847688051	124330	16315	12994
H2009_ONT,0.8,ClairS_TO_v0_3_0_pileup,snv	0.040886639926556514	0.9674419620750925	0.07845746133687669	132853	3116448	4471
H2009_ONT,0.8,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.8703129443308462	0.936034487780723	0.9019781206800974	128540	19154	8784
H2009_ONT,0.6,Longphase_TO_v0_0_1,snv	0.9177300072805303	0.8720252832716786	0.8942940677871168	119750	10735	17574
H2009_ONT,0.6,DeepSomatic_TO_v1_8_0,snv	0.8081324980088925	0.9383938714281553	0.8684055353574834	128864	30595	8460
H2009_ONT,0.6,ClairS_TO_v0_3_0,snv	0.8550864263512468	0.8854606623751129	0.870008514413686	121595	20607	15729
H2009_ONT,0.6,ClairS_TO_v0_3_0_pileup,snv	0.03807835307584449	0.9423188954589147	0.07319880112872876	129403	3268932	7921
H2009_ONT,0.6,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.8437622134472581	0.9118289592496578	0.8764760644813564	125216	23186	12108
H2009_ONT,0.4,Longphase_TO_v0_0_1,snv	0.9001728177603483	0.788958958375812	0.8409046809633579	108343	12015	28981
H2009_ONT,0.4,DeepSomatic_TO_v1_8_0,snv	0.7975265885271959	0.8988232209956016	0.8451504673217158	123430	31336	13894
H2009_ONT,0.4,ClairS_TO_v0_3_0,snv	0.8296990420908817	0.7827473711805657	0.8055396306163513	107490	22063	29834
H2009_ONT,0.4,ClairS_TO_v0_3_0_pileup,snv	0.0342147150774998	0.8507398561067256	0.06578376501928995	116827	3297698	20497
H2009_ONT,0.4,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.8230920477716284	0.8230680725874574	0.8230800600049518	113027	24293	24297
H2009_ONT,0.2,Longphase_TO_v0_0_1,snv	0.838148037159125	0.40734321750021846	0.5482397679159479	55938	10802	81386
H2009_ONT,0.2,DeepSomatic_TO_v1_8_0,snv	0.7199288286524267	0.6158064140281378	0.6638093780294912	84565	32898	52759
H2009_ONT,0.2,ClairS_TO_v0_3_0,snv	0.6962281186410986	0.37622702513763073	0.48848632115387347	51665	22542	85659
H2009_ONT,0.2,ClairS_TO_v0_3_0_pileup,snv	0.0186315471359351	0.4570286330138941	0.03580350373574743	62761	3305773	74563
H2009_ONT,0.2,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.7066263436133675	0.4389837173400134	0.5415410874300985	60283	25028	77041
HCC1395_ONT,1.0,Longphase_TO_v0_0_1,snv	0.6990613190296233	0.7268486830430705	0.712684248465114	28672	12343	10775
HCC1395_ONT,1.0,DeepSomatic_TO_v1_8_0,snv	0.5666440754546481	0.7630238040915659	0.6503321989953006	30099	23019	9348
HCC1395_ONT,1.0,ClairS_TO_v0_3_0,snv	0.7082771703859019	0.7193195933784572	0.7137556754581241	28375	11687	11072
HCC1395_ONT,1.0,ClairS_TO_v0_3_0_pileup,snv	0.010887818895054751	0.7622886404542805	0.02146899472342516	30070	2731732	9377
HCC1395_ONT,1.0,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.6634827499943144	0.7395746191091844	0.6994653432112973	29174	14797	10273
HCC1395_ONT,0.8,Longphase_TO_v0_0_1,snv	0.760344680488013	0.6777701726367024	0.7166867712102934	26736	8427	12711
HCC1395_ONT,0.8,DeepSomatic_TO_v1_8_0,snv	0.5071011573520877	0.7530864197530864	0.6060859541564232	29707	28875	9740
HCC1395_ONT,0.8,ClairS_TO_v0_3_0,snv	0.6396063012360907	0.6309478540826933	0.6352475752935172	24889	14024	14558
HCC1395_ONT,0.8,ClairS_TO_v0_3_0_pileup,snv	0.009473739910638001	0.7443405075164145	0.01870935286042123	29362	3069942	10085
HCC1395_ONT,0.8,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.6027756621816027	0.7222855983978502	0.6571412097099694	28492	18776	10955
HCC1395_ONT,0.6,Longphase_TO_v0_0_1,snv	0.7205348668416057	0.654320987654321	0.6858334772615553	25811	10011	13636
HCC1395_ONT,0.6,DeepSomatic_TO_v1_8_0,snv	0.4828944951830765	0.7331863006058762	0.582283068250453	28922	30971	10525
HCC1395_ONT,0.6,ClairS_TO_v0_3_0,snv	0.6420362555405155	0.6132278753770882	0.6273014885120066	24190	13487	15257
HCC1395_ONT,0.6,ClairS_TO_v0_3_0_pileup,snv	0.008357743986812953	0.7005095444520496	0.016518407685994232	27633	3278642	11814
HCC1395_ONT,0.6,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.553538982490915	0.6796207569650417	0.6101343893307845	26809	21623	12638
HCC1395_ONT,0.4,Longphase_TO_v0_0_1,snv	0.6783705633758063	0.5412071893933632	0.6020756366507798	21349	10122	18098
HCC1395_ONT,0.4,DeepSomatic_TO_v1_8_0,snv	0.4592632288623438	0.6734859431642457	0.5461179517750324	26567	31280	12880
HCC1395_ONT,0.4,ClairS_TO_v0_3_0,snv	0.5680655066530195	0.5205719066088675	0.5432827133710778	20535	15614	18912
HCC1395_ONT,0.4,ClairS_TO_v0_3_0_pileup,snv	0.006845398997304624	0.5800187593479859	0.013531103500522496	22880	3319511	16567
HCC1395_ONT,0.4,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.4990214823979305	0.5623748320531345	0.5288074181783509	22184	22271	17263
