Category	Precision	Recall	F1-score	TP	FP	FN
HCC1395_ONT_Dorado,0.8,DeepSomatic_TO_v1_8_0,indel	0.45625308947108256	0.5761548064918851	0.5092413793103449	923	1100	679
HCC1395_ONT_Dorado,0.8,ClairS_TO_v0_3_0,indel	0.414614773629865	0.3258426966292135	0.36490737504369103	522	737	1080
HCC1395_ONT_Dorado,0.8,ClairS_TO_ss_v0_3_0,indel	0.4509692132269099	0.4937578027465668	0.47139451728247916	791	963	811
HCC1395_ONT_Dorado,0.6,DeepSomatic_TO_v1_8_0,indel	0.36891385767790263	0.4918851435705368	0.4216158373461744	788	1348	814
HCC1395_ONT_Dorado,0.6,ClairS_TO_v0_3_0,indel	0.2986111111111111	0.21473158551810237	0.24981844589687724	344	808	1258
HCC1395_ONT_Dorado,0.6,ClairS_TO_ss_v0_3_0,indel	0.3838727995457127	0.42197253433208487	0.40202200416294975	676	1085	926
HCC1395_ONT_Dorado,0.4,DeepSomatic_TO_v1_8_0,indel	0.2692307692307692	0.3364544319600499	0.29911209766925634	539	1463	1063
HCC1395_ONT_Dorado,0.4,ClairS_TO_v0_3_0,indel	0.12804328223624886	0.08863920099875156	0.10475839173736627	142	967	1460
HCC1395_ONT_Dorado,0.4,ClairS_TO_ss_v0_3_0,indel	0.2835633626097867	0.28214731585518105	0.2828535669586984	452	1142	1150
HCC1395_ONT_Dorado,0.2,DeepSomatic_TO_v1_8_0,indel	0.09363957597173145	0.09925093632958802	0.09636363636363636	159	1539	1443
HCC1395_ONT_Dorado,0.2,ClairS_TO_v0_3_0,indel	0.01056338028169014	0.00749063670411985	0.008765522279035792	12	1124	1590
HCC1395_ONT_Dorado,0.2,ClairS_TO_ss_v0_3_0,indel	0.10737812911725955	0.1017478152309613	0.10448717948717949	163	1355	1439
HCC1937_ONT,1.0,DeepSomatic_TO_v1_8_0,indel	0.22012578616352202	0.385	0.2801018552200801	385	1364	615
HCC1937_ONT,1.0,ClairS_TO_v0_3_0,indel	0.27190721649484534	0.422	0.33072100313479624	422	1130	578
HCC1937_ONT,1.0,ClairS_TO_ss_v0_3_0,indel	0.24533545057562525	0.618	0.3512361466325661	618	1901	382
HCC1937_ONT,0.8,DeepSomatic_TO_v1_8_0,indel	0.24719101123595505	0.44	0.31654676258992803	440	1340	560
HCC1937_ONT,0.8,ClairS_TO_v0_3_0,indel	0.28581661891117477	0.399	0.33305509181969944	399	997	601
HCC1937_ONT,0.8,ClairS_TO_ss_v0_3_0,indel	0.25591985428051	0.562	0.35168961201501875	562	1634	438
HCC1937_ONT,0.6,DeepSomatic_TO_v1_8_0,indel	0.22594364699627859	0.425	0.2950364456785838	425	1456	575
HCC1937_ONT,0.6,ClairS_TO_v0_3_0,indel	0.24044117647058824	0.327	0.2771186440677966	327	1033	673
HCC1937_ONT,0.6,ClairS_TO_ss_v0_3_0,indel	0.24473813020068527	0.5	0.32862306933946767	500	1543	500
HCC1937_ONT,0.4,DeepSomatic_TO_v1_8_0,indel	0.16405433646812956	0.314	0.21551132463967054	314	1600	686
HCC1937_ONT,0.4,ClairS_TO_v0_3_0,indel	0.11743515850144093	0.163	0.13651591289782244	163	1225	837
HCC1937_ONT,0.4,ClairS_TO_ss_v0_3_0,indel	0.1746031746031746	0.352	0.23342175066312998	352	1664	648
HCC1937_ONT,0.2,DeepSomatic_TO_v1_8_0,indel	0.06374722838137473	0.115	0.08202567760342368	115	1689	885
HCC1937_ONT,0.2,ClairS_TO_v0_3_0,indel	0.016722408026755852	0.025	0.020040080160320644	25	1470	975
HCC1937_ONT,0.2,ClairS_TO_ss_v0_3_0,indel	0.0665390138822403	0.139	0.08999676270637746	139	1950	861
HCC1954_ONT,1.0,DeepSomatic_TO_v1_8_0,indel	0.145662100456621	0.1353415358506576	0.14031229382010116	319	1871	2038
HCC1954_ONT,1.0,ClairS_TO_v0_3_0,indel	0.16513157894736843	0.212982605006364	0.18602927552343895	502	2538	1855
HCC1954_ONT,1.0,ClairS_TO_ss_v0_3_0,indel	0.17124856815578465	0.25371234620280014	0.20447939818772437	598	2894	1759
HCC1954_ONT,0.8,DeepSomatic_TO_v1_8_0,indel	0.11361545538178473	0.1047942299533305	0.10902670492165085	247	1927	2110
HCC1954_ONT,0.8,ClairS_TO_v0_3_0,indel	0.10049916805324459	0.1281289775137887	0.11264453562103692	302	2703	2055
HCC1954_ONT,0.8,ClairS_TO_ss_v0_3_0,indel	0.13344788087056128	0.19770895205770048	0.15934347751752437	466	3026	1891
HCC1954_ONT,0.6,DeepSomatic_TO_v1_8_0,indel	0.08049113233287858	0.07509546033092915	0.07769973661106233	177	2022	2180
HCC1954_ONT,0.6,ClairS_TO_v0_3_0,indel	0.05170731707317073	0.06745863385659737	0.0585419734904271	159	2916	2198
HCC1954_ONT,0.6,ClairS_TO_ss_v0_3_0,indel	0.08357600465928945	0.12176495545184557	0.09911932308754966	287	3147	2070
HCC1954_ONT,0.4,DeepSomatic_TO_v1_8_0,indel	0.04005461993627674	0.037335596096733134	0.03864734299516908	88	2109	2269
HCC1954_ONT,0.4,ClairS_TO_v0_3_0,indel	0.013827781269641735	0.018667798048366567	0.015887344285972195	44	3138	2313
HCC1954_ONT,0.4,ClairS_TO_ss_v0_3_0,indel	0.04122182680901542	0.05897327110733984	0.04852504800139641	139	3233	2218
HCC1954_ONT,0.2,DeepSomatic_TO_v1_8_0,indel	0.009458297506448839	0.009333899024183284	0.009395686525731368	22	2304	2335
HCC1954_ONT,0.2,ClairS_TO_v0_3_0,indel	0.0018270401948842874	0.002545608824777259	0.0021272823967381674	6	3278	2351
HCC1954_ONT,0.2,ClairS_TO_ss_v0_3_0,indel	0.012910798122065728	0.018667798048366567	0.015264527320034693	44	3364	2313
COLO829_ONT_PAO,1.0,Longphase_TO_ss_v0_0_1,indel	0.003856503779373704	0.22842639593908629	0.007584951456310679	225	58118	760
COLO829_ONT_PAO,0.8,Longphase_TO_ss_v0_0_1,indel	0.01168092017044608	0.3979695431472081	0.02269569245020843	392	33167	593
COLO829_ONT_PAO,0.6,Longphase_TO_ss_v0_0_1,indel	0.019632022887584474	0.4040609137055838	0.037444726691128055	398	19875	587
COLO829_ONT_PAO,0.4,Longphase_TO_ss_v0_0_1,indel	0.01685364214444502	0.33096446700507615	0.03207398661944117	326	19017	659
COLO829_ONT_PAO,0.2,Longphase_TO_ss_v0_0_1,indel	0.008955062847278416	0.16852791878172588	0.017006454256735987	166	18371	819
H1437_ONT,1.0,Longphase_TO_ss_v0_0_1,indel	0.05527335917658067	0.4053921568627451	0.09728267262674979	1654	28270	2426
H1437_ONT,0.8,Longphase_TO_ss_v0_0_1,indel	0.07211892688423699	0.40784313725490196	0.12256472581298568	1664	21409	2416
H1437_ONT,0.6,Longphase_TO_ss_v0_0_1,indel	0.08290209066445871	0.3926470588235294	0.13689967526918478	1602	17722	2478
H1437_ONT,0.4,Longphase_TO_ss_v0_0_1,indel	0.08257548199345216	0.3338235294117647	0.13240011665208515	1362	15132	2718
H1437_ONT,0.2,Longphase_TO_ss_v0_0_1,indel	0.0474439897343414	0.1676470588235294	0.07395793912526355	684	13733	3396
H2009_ONT,1.0,Longphase_TO_ss_v0_0_1,indel	0.11534283551137299	0.7406467977171846	0.19960125320421532	3504	26875	1227
H2009_ONT,0.8,Longphase_TO_ss_v0_0_1,indel	0.1372171771586886	0.7537518495032762	0.2321690159184869	3566	22422	1165
H2009_ONT,0.6,Longphase_TO_ss_v0_0_1,indel	0.14773356033198554	0.7336715282181357	0.24594345638772763	3471	20024	1260
H2009_ONT,0.4,Longphase_TO_ss_v0_0_1,indel	0.13711325507342806	0.6098076516592686	0.2238863883284184	2885	18156	1846
H2009_ONT,0.2,Longphase_TO_ss_v0_0_1,indel	0.03155082575289234	0.30205030648911435	0.05713371848949483	1429	43863	3302
HCC1395_ONT,1.0,Longphase_TO_ss_v0_0_1,indel	0.012722760435354624	0.531210986267166	0.024850343115783328	851	66037	751
HCC1395_ONT,0.8,Longphase_TO_ss_v0_0_1,indel	0.015033407572383074	0.6067415730337079	0.0293398533007335	972	63684	630
HCC1395_ONT,0.6,Longphase_TO_ss_v0_0_1,indel	0.015599008724581594	0.5736579275905118	0.030372132989622574	919	57995	683
HCC1395_ONT,0.4,Longphase_TO_ss_v0_0_1,indel	0.01360909494889646	0.45880149812734083	0.026434094587304443	735	53273	867
HCC1395_ONT,0.2,Longphase_TO_ss_v0_0_1,indel	0.005752562592900025	0.18601747815230962	0.011160003744967699	298	51505	1304
HCC1395_ONT_Dorado,1.0,Longphase_TO_ss_v0_0_1,indel	0.023783262098442025	0.6460674157303371	0.045877659574468085	1035	42483	567
