Category	Precision	Recall	F1-score	TP	FP	FN
HCC1954_ONT,0.6,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.1802	0.6383	0.2811	13190	59997	7475
HCC1954_ONT,0.4,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.1259	0.4217	0.1939	8715	60494	11950
HCC1954_ONT,0.2,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.0569	0.1774	0.0862	3667	60763	16998
HCC1937_ONT,1.0,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.4424	0.7844	0.5657	12427	15664	3416
HCC1937_ONT,0.8,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.3792	0.7300	0.4991	11565	18935	4278
HCC1937_ONT,0.6,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.3245	0.6503	0.4329	10303	21450	5540
HCC1937_ONT,0.4,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.2625	0.5038	0.3451	7981	22425	7862
HCC1937_ONT,0.2,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.1376	0.2362	0.1739	3742	23455	12101
COLO829_ONT_PAO,1.0,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.5725	0.8395	0.6808	34780	25970	6647
COLO829_ONT_PAO,0.8,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.5602	0.8261	0.6676	34224	26873	7203
COLO829_ONT_PAO,0.6,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.5390	0.7959	0.6427	32972	28201	8455
COLO829_ONT_PAO,0.4,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.4958	0.6973	0.5796	28889	29377	12538
COLO829_ONT_PAO,0.2,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.3419	0.3745	0.3575	15513	29855	25914
H1437_ONT,1.0,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.7432	0.6138	0.6723	47212	16316	29710
H1437_ONT,0.8,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.6927	0.6002	0.6432	46172	20482	30750
H1437_ONT,0.6,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.6510	0.5755	0.6109	44270	23731	32652
H1437_ONT,0.4,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.6178	0.5139	0.5611	39529	24454	37393
H1437_ONT,0.2,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.4980	0.3178	0.3879	24442	24642	52480
HCC1395_ONT,1.0,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.6635	0.7396	0.6995	29174	14797	10273
HCC1395_ONT,0.8,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.6028	0.7223	0.6571	28492	18776	10955
HCC1395_ONT,0.6,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.5535	0.6796	0.6101	26809	21623	12638
HCC1395_ONT,0.4,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.4990	0.5624	0.5288	22184	22271	17263
HCC1395_ONT,0.2,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.3318	0.2845	0.3063	11222	22600	28225
HCC1395_ONT_Dorado,1.0,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.6798	0.7483	0.7124	29520	13905	9927
HCC1395_ONT_Dorado,0.8,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.6160	0.7316	0.6688	28860	17992	10587
HCC1395_ONT_Dorado,0.6,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.5681	0.6913	0.6237	27271	20733	12176
HCC1395_ONT_Dorado,0.4,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.5188	0.5810	0.5481	22920	21263	16527
HCC1395_ONT_Dorado,0.2,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.3337	0.2782	0.3035	10976	21914	28471
COLO829_ONT_PAO,1.0,Longphase_TO_v0_0_1,snv	0.647064483229742	0.8116928573152775	0.7200890849519241	33626	18341	7801
COLO829_ONT_PAO,0.8,Longphase_TO_v0_0_1,snv	0.8012547204287976	0.63509305525382	0.7085628105516879	26310	6526	15117
